acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,lr,dropout_prob,nheads,ffn,n_levels,attn_dropout,embed_dropout
51.01,44.5,45.9,44.97,0.4693,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-25-10-19-03,2.5e-05,0.6,8,2048,5,0.1,0.2
50.11,45.8,46.96,46.29,0.4932,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-25-10-21-22,2.5e-05,0.6,8,2048,5,0.1,0.2
64.27,61.46,62.43,62.16,0.6092,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-08-25-10-20-41,2.5e-05,0.6,8,2048,5,0.1,0.2
51.24,44.43,46.64,44.16,0.4422,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-25-10-32-31,3e-05,0.6,8,2048,5,0.1,0.2
71.46,68.12,68.98,68.16,0.6935,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-25-10-36-00,2.9999999999999997e-05,0.6,8,2048,5,0.1,0.2
71.69,67.08,67.52,67.96,0.6886,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-25-10-45-03,1e-05,0.5,8,2048,5,0.1,0.2
46.74,43.74,47.12,43.59,0.4271,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-08-25-10-36-16,2.9999999999999997e-05,0.6,8,2048,5,0.1,0.2
53.03,48.07,50.67,48.18,0.4735,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-25-10-49-02,1e-05,0.5,8,2048,5,0.1,0.2
71.01,66.52,65.9,68.06,0.6955,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-08-25-10-57-28,1e-05,0.5,8,2048,5,0.1,0.2
70.56,66.83,66.63,67.82,0.6913,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-25-10-56-16,2e-05,0.5,8,2048,5,0.1,0.2
70.11,66.43,67.48,66.58,0.6887,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-25-11-08-19,2e-05,0.5,8,2048,5,0.1,0.2
51.69,46.46,48.27,47.47,0.4817,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-08-25-11-08-37,2e-05,0.5,8,2048,5,0.1,0.2
49.66,44.91,47.54,44.37,0.4591,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-25-11-11-46,2.5e-05,0.5,8,2048,5,0.1,0.2
66.74,64.38,65.37,65.42,0.644,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-08-25-11-23-23,2.5e-05,0.5,8,2048,5,0.1,0.2
49.89,44.51,46.01,45.0,0.4752,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-25-11-19-09,2.5e-05,0.5,8,2048,5,0.1,0.2
73.71,70.51,70.81,71.64,0.6841,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-25-11-30-42,3e-05,0.5,8,2048,5,0.1,0.2
72.58,68.99,70.21,69.14,0.695,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-08-25-11-35-16,2.9999999999999997e-05,0.5,8,2048,5,0.1,0.2
71.24,66.29,67.34,68.03,0.6859,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-25-11-38-59,1e-05,0.45,8,2048,5,0.1,0.2
71.24,66.54,66.93,68.64,0.6796,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-25-11-47-55,2e-05,0.45,8,2048,5,0.1,0.2
70.56,66.18,66.69,66.8,0.7091,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-08-25-11-45-38,1e-05,0.45,8,2048,5,0.1,0.2
